Comparison,Assay,OLINK.ID,Protein.ID,Uniprot.ID,logFC,CI.L,CI.R,AveExpr,P.Value,adj.P.Val
Mild_v_Critical,Neurology,OID00322,HAGH,Q16775,0.24,-0.55,1.03,5.79,0.54,0.61
Control_v_Case,Immune,OID01024,IL5,P05113,0.11,-0.28,0.50,1.03,0.58,0.62
Control_v_Case,Neurology,OID00326,LAYN,Q6UX15,0.08,-0.21,0.37,5.49,0.58,0.62
Control_v_Case,Immune,OID00977,CD28,P10747,-0.07,-0.32,0.18,1.67,0.58,0.62
"Longitudinal_in_Critical",Immune,OID00942,HCLS1,P14317,0.36,-0.47,1.18,5.31,0.34,0.62
Longitudinal_in_Mild,Immune,OID00997,PIK3AP1,Q6ZUJ8,-0.80,-2.26,0.67,2.62,0.24,0.62
Control_v_Severe,Inflammation,OID00485,IL-17A,Q16552,-0.70,-2.27,0.88,1.73,0.38,0.62
Control_v_Critical,Cardiovascular,OID00417,GH,P01241,-0.52,-2.11,1.06,8.24,0.51,0.62
Control_v_Severe,Cardiovascular,OID00446,LPL,P06858,-0.84,-2.75,1.07,9.52,0.38,0.62
Control_v_Severe,Neurology,OID00368,IL12,"P29460, P29459",-1.10,-3.65,1.44,8.36,0.38,0.62
Control_v_Severe,Neurology,OID00297,SMOC2,Q9H3U7,-0.56,-1.84,0.73,7.82,0.38,0.62
Control_v_Severe,Neurology,OID00312,sFRP-3,Q92765,-0.53,-1.74,0.69,5.48,0.38,0.62
Longitudinal_in_Mild,Inflammation,OID00472,VEGFA,P15692,0.72,-0.60,2.03,10.88,0.24,0.63
Mild_v_Critical,Neurology,OID00304,CRTAM,O95727,-0.16,-0.72,0.39,5.42,0.56,0.63
Mild_v_Critical,Cardiovascular,OID00430,AMBP,P02760,-0.06,-0.26,0.14,7.58,0.56,0.63
Mild_v_Critical,Cardiovascular,OID00380,ANGPT1,Q15389,0.29,-0.69,1.26,8.26,0.56,0.63
"Longitudinal_in_Critical",Inflammation,OID00507,FGF-23,Q9GZV9,0.21,-0.29,0.70,2.58,0.35,0.63
Control_v_Critical,Cardiovascular,OID00413,SOD2,P04179,0.04,-0.08,0.15,10.23,0.52,0.63
Longitudinal_in_Mild,Inflammation,OID00530,CCL23,P55773,0.64,-0.54,1.82,10.51,0.25,0.63
Control_v_Mild,Cardiovascular,OID00448,AGRP,O00253,0.16,-0.32,0.64,5.31,0.51,0.63
Control_v_Severe,Cardiovascular,OID00406,Gal-9,O00182,0.66,-0.88,2.20,8.26,0.39,0.63
Control_v_Severe,Immune,OID00966,NTF4,P34130,0.52,-0.70,1.73,1.84,0.39,0.63
Control_v_Critical,Neurology,OID00346,SKR3,P37023,-0.13,-0.53,0.27,7.14,0.52,0.63
Control_v_Mild,Immune,OID00995,KLRD1,Q13241,0.17,-0.34,0.67,6.60,0.52,0.63
Severe_v_Critical,Neurology,OID00354,IL-5R-alpha,Q01344,-0.25,-0.93,0.44,5.14,0.47,0.64
Mild_v_Severe,Neurology,OID00288,NRP2,O60462,0.03,-0.08,0.15,8.20,0.55,0.64
Longitudinal_in_Mild,Cardiovascular,OID00451,FABP2,P12104,1.48,-1.32,4.28,8.00,0.26,0.64
Longitudinal_in_Mild,Neurology,OID00352,FcRL2,Q96LA5,-0.81,-2.37,0.75,5.14,0.26,0.64
Longitudinal_in_Mild,Neurology,OID00375,TN-R,Q92752,0.35,-0.32,1.03,4.53,0.26,0.64
Longitudinal_in_Mild,Inflammation,OID00541,EN-RAGE,P80511,-0.35,-1.00,0.31,2.31,0.26,0.64
Severe_v_Critical,Inflammation,OID00555,TWEAK,O43508,-0.15,-0.56,0.26,8.12,0.47,0.64
Longitudinal_in_Mild,Inflammation,OID00526,ARTN,Q5T4W7,0.47,-0.43,1.38,0.92,0.26,0.64
Control_v_Mild,Cardiovascular,OID00399,TF,P13726,-0.09,-0.39,0.20,5.86,0.52,0.64
Longitudinal_in_Mild,Cardiovascular,OID00464,CA5A,P35218,-1.51,-4.67,1.65,3.01,0.30,0.64
Longitudinal_in_Mild,Inflammation,OID00545,FGF-19,O95750,-1.12,-3.43,1.18,9.21,0.29,0.64
Longitudinal_in_Mild,Immune,OID01004,DFFA,O00273,-0.91,-2.83,1.02,4.23,0.30,0.64
Longitudinal_in_Mild,Immune,OID00944,CLEC4G,Q6UXB4,-0.80,-2.39,0.79,3.65,0.27,0.64
Longitudinal_in_Mild,Inflammation,OID00484,MCP-1,P13500,0.75,-0.75,2.26,11.66,0.28,0.64
Longitudinal_in_Mild,Neurology,OID00341,DRAXIN,Q8NBI3,0.74,-0.79,2.26,3.19,0.29,0.64
Longitudinal_in_Mild,Inflammation,OID00487,AXIN1,O15169,0.63,-0.64,1.90,2.84,0.29,0.64
Longitudinal_in_Mild,Cardiovascular,OID00434,IL16,Q14005,-0.62,-1.86,0.61,6.55,0.28,0.64
Longitudinal_in_Mild,Immune,OID01001,FAM3B,P58499,-0.59,-1.80,0.62,4.65,0.28,0.64
Longitudinal_in_Mild,Cardiovascular,OID00458,PD-L2,Q9BQ51,0.56,-0.58,1.70,3.71,0.29,0.64
Longitudinal_in_Mild,Inflammation,OID00542,CD40,P25942,0.49,-0.45,1.43,10.95,0.27,0.64
Longitudinal_in_Mild,Immune,OID00995,KLRD1,Q13241,-0.46,-1.44,0.51,6.53,0.30,0.64
Longitudinal_in_Mild,Cardiovascular,OID00381,ADM,P35318,0.45,-0.46,1.36,8.48,0.29,0.64
Longitudinal_in_Mild,Inflammation,OID00490,CXCL9,Q07325,-0.42,-1.26,0.42,7.38,0.28,0.64
Longitudinal_in_Mild,Immune,OID00991,TREM1,Q9NP99,-0.40,-1.21,0.41,2.22,0.28,0.64
Longitudinal_in_Mild,Immune,OID00966,NTF4,P34130,0.40,-0.44,1.23,1.86,0.30,0.64
Longitudinal_in_Mild,Cardiovascular,OID00444,DCN,P07585,0.39,-0.40,1.18,4.48,0.29,0.64
Longitudinal_in_Mild,Neurology,OID00331,TMPRSS5,Q9H3S3,0.35,-0.34,1.04,2.67,0.27,0.64
Longitudinal_in_Mild,Neurology,OID00369,Dkk-4,Q9UBT3,-0.28,-0.87,0.31,3.21,0.30,0.64
Longitudinal_in_Mild,Immune,OID00954,FGF2,P09038,0.24,-0.26,0.74,0.49,0.30,0.64
Longitudinal_in_Mild,Inflammation,OID00514,IL-15RA,Q13261,0.24,-0.24,0.72,1.35,0.29,0.64
Longitudinal_in_Mild,Cardiovascular,OID00441,MMP7,P09237,0.23,-0.23,0.70,9.71,0.28,0.64
Longitudinal_in_Mild,Neurology,OID00360,CTSS,P25774,-0.14,-0.42,0.15,5.68,0.30,0.64
"Longitudinal_in_Critical",Immune,OID00974,LY75,O60449,-0.21,-0.73,0.30,2.59,0.36,0.64
Control_v_Critical,Immune,OID01026,ITGB6,P18564,-0.13,-0.53,0.28,3.12,0.53,0.64
Control_v_Critical,Neurology,OID00304,CRTAM,O95727,0.19,-0.42,0.79,5.24,0.53,0.64
Mild_v_Severe,Inflammation,OID00539,CCL28,Q9NRJ3,0.08,-0.19,0.35,2.36,0.56,0.64
Severe_v_Critical,Neurology,OID00297,SMOC2,Q9H3U7,0.16,-0.29,0.61,7.52,0.48,0.65
Control_v_Case,Cardiovascular,OID00465,HSP 27,P04792,-0.09,-0.43,0.25,10.06,0.61,0.65
Longitudinal_in_Mild,Immune,OID00964,TRIM21,P19474,-1.55,-4.88,1.78,2.92,0.31,0.65
Severe_v_Critical,Cardiovascular,OID00402,IL-27,"Q8NEV9,Q14213",-0.18,-0.70,0.34,6.92,0.48,0.65
Control_v_Case,Cardiovascular,OID00379,BMP-6,P22004,0.10,-0.29,0.49,4.79,0.62,0.65
Control_v_Severe,Cardiovascular,OID00409,IL18,Q14116,-0.71,-2.42,1.01,9.37,0.41,0.65
Control_v_Severe,Neurology,OID00288,NRP2,O60462,-0.23,-0.80,0.33,8.22,0.41,0.65
Control_v_Severe,Cardiovascular,OID00391,TNFRSF10A,O00220,-0.44,-1.53,0.64,3.12,0.41,0.65
Severe_v_Critical,Neurology,OID00338,NTRK2,Q16620,-0.07,-0.27,0.13,5.69,0.49,0.65
Severe_v_Critical,Immune,OID01010,IFNLR1,Q8IU57,0.13,-0.25,0.51,3.10,0.49,0.65
"Longitudinal_in_Critical",Cardiovascular,OID00407,GIF,P27352,-0.36,-1.23,0.52,6.37,0.37,0.65
"Longitudinal_in_Critical",Neurology,OID00319,ADAM 23,O75077,-0.29,-1.01,0.43,3.60,0.37,0.65
"Longitudinal_in_Critical",Cardiovascular,OID00416,SPON2,Q9BUD6,0.07,-0.11,0.25,8.75,0.37,0.65
Longitudinal_in_Mild,Neurology,OID00320,MATN3,O15232,0.79,-0.95,2.53,8.83,0.32,0.65
Longitudinal_in_Mild,Cardiovascular,OID00466,CD4,P01730,-0.68,-2.14,0.78,4.87,0.31,0.65
Longitudinal_in_Mild,Inflammation,OID00499,CD6,P30203,0.68,-0.79,2.15,6.33,0.32,0.65
Longitudinal_in_Mild,Neurology,OID00306,PLXNB3,Q9ULL4,0.67,-0.79,2.14,4.14,0.31,0.65
Longitudinal_in_Mild,Neurology,OID00296,EZR,P15311,-0.37,-1.20,0.45,3.82,0.32,0.65
Severe_v_Critical,Neurology,OID00312,sFRP-3,Q92765,0.12,-0.23,0.46,5.69,0.49,0.65
Mild_v_Severe,Cardiovascular,OID00393,IDUA,P35475,-0.12,-0.56,0.31,5.51,0.57,0.65
Control_v_Critical,Inflammation,OID00505,CCL11,P51671,-0.19,-0.81,0.44,7.65,0.55,0.65
Control_v_Critical,Cardiovascular,OID00445,Dkk-1,O94907,-0.18,-0.76,0.41,9.49,0.55,0.65
"Longitudinal_in_Critical",Neurology,OID00363,N2DL-2,Q9BZM5,0.58,-0.87,2.03,4.34,0.38,0.66
Control_v_Critical,Neurology,OID00375,TN-R,Q92752,-0.14,-0.59,0.32,4.08,0.55,0.66
Longitudinal_in_Mild,Inflammation,OID00539,CCL28,Q9NRJ3,0.60,-0.72,1.92,2.44,0.33,0.66
Longitudinal_in_Mild,Inflammation,OID00557,ST1A1,P50225,0.58,-0.71,1.86,1.79,0.33,0.66
Longitudinal_in_Mild,Neurology,OID00329,THY 1,P04216,0.43,-0.55,1.42,9.91,0.33,0.66
Longitudinal_in_Mild,Neurology,OID00348,CPM,P14384,-0.32,-1.05,0.41,6.74,0.33,0.66
Longitudinal_in_Mild,Immune,OID01014,MASP1,P48740,-0.14,-0.46,0.18,1.95,0.33,0.66
Control_v_Severe,Immune,OID01002,SH2D1A,O60880,-0.97,-3.37,1.44,2.93,0.42,0.66
Severe_v_Critical,Inflammation,OID00553,TNFRSF9,Q07011,0.17,-0.35,0.70,6.61,0.50,0.66
Severe_v_Critical,Cardiovascular,OID00447,PRSS8,Q16651,0.08,-0.16,0.31,9.06,0.50,0.66
Severe_v_Critical,Cardiovascular,OID00460,hOSCAR,Q8IYS5,0.04,-0.08,0.16,11.03,0.50,0.66
Control_v_Mild,Neurology,OID00351,BMP-4,P12644,0.16,-0.36,0.67,4.64,0.54,0.66
Control_v_Mild,Immune,OID01025,CD83,Q01151,-0.13,-0.56,0.30,2.94,0.54,0.66
"Longitudinal_in_Critical",Neurology,OID00329,THY 1,P04216,0.16,-0.24,0.55,9.84,0.38,0.66
Severe_v_Critical,Cardiovascular,OID00405,LOX-1,P78380,0.30,-0.61,1.20,8.08,0.51,0.66
Severe_v_Critical,Inflammation,OID00504,MCP-4,Q99616,0.18,-0.37,0.73,14.44,0.51,0.66
Severe_v_Critical,Cardiovascular,OID00434,IL16,Q14005,0.17,-0.35,0.68,7.15,0.51,0.66
Mild_v_Critical,Immune,OID01026,ITGB6,P18564,0.08,-0.23,0.39,3.07,0.59,0.66
Control_v_Severe,Cardiovascular,OID00440,CCL3,P10147,-1.27,-4.47,1.92,6.81,0.42,0.66
Control_v_Severe,Neurology,OID00366,CLM-1,Q8TDQ1,0.79,-1.24,2.83,6.35,0.43,0.67
Control_v_Severe,Inflammation,OID00471,IL8,P10145,-0.79,-2.80,1.22,5.77,0.43,0.67
Control_v_Severe,Immune,OID01025,CD83,Q01151,-0.45,-1.58,0.69,2.93,0.43,0.67
Severe_v_Critical,Inflammation,OID00508,IL-10RA,Q13651,0.08,-0.18,0.34,1.17,0.52,0.67
Severe_v_Critical,Cardiovascular,OID00445,Dkk-1,O94907,0.19,-0.42,0.80,9.25,0.52,0.67
Control_v_Severe,Cardiovascular,OID00419,GLO1,Q04760,0.80,-1.28,2.89,6.56,0.44,0.68
"Longitudinal_in_Critical",Neurology,OID00324,gal-8,O00214,-0.24,-0.87,0.39,6.73,0.40,0.68
"Longitudinal_in_Critical",Neurology,OID00313,EPHB6,O15197,-0.16,-0.57,0.26,3.82,0.40,0.68
"Longitudinal_in_Critical",Inflammation,OID00477,CD244,Q9BZW8,0.16,-0.25,0.56,5.57,0.40,0.68
"Longitudinal_in_Critical",Cardiovascular,OID00411,PIgR,P01833,-0.15,-0.53,0.24,5.70,0.40,0.68
"Longitudinal_in_Critical",Cardiovascular,OID00428,TM,P07204,-0.12,-0.44,0.20,9.81,0.40,0.68
"Longitudinal_in_Critical",Inflammation,OID00475,GDNF,P39905,0.07,-0.11,0.25,2.26,0.39,0.68
Control_v_Severe,Cardiovascular,OID00407,GIF,P27352,0.90,-1.44,3.24,6.77,0.44,0.68
Severe_v_Critical,Cardiovascular,OID00420,CD84,Q9UIB8,0.11,-0.24,0.45,4.65,0.53,0.68
Control_v_Critical,Cardiovascular,OID00394,TNFRSF11A,Q9Y6Q6,0.18,-0.45,0.80,6.14,0.57,0.68
Control_v_Critical,Inflammation,OID00498,CCL4,P13236,-0.23,-1.03,0.58,6.45,0.58,0.68
"Longitudinal_in_Critical",Inflammation,OID00484,MCP-1,P13500,0.62,-1.05,2.29,13.15,0.41,0.68
"Longitudinal_in_Critical",Immune,OID00955,PRDX5,P30044,0.15,-0.26,0.56,5.33,0.41,0.68
Longitudinal_in_Mild,Neurology,OID00368,IL12,"P29460, P29459",1.23,-1.65,4.11,8.61,0.35,0.68
Longitudinal_in_Mild,Cardiovascular,OID00391,TNFRSF10A,O00220,-0.60,-1.99,0.79,2.87,0.35,0.68
Control_v_Mild,Neurology,OID00363,N2DL-2,Q9BZM5,-0.11,-0.51,0.28,2.98,0.56,0.68
Mild_v_Severe,Cardiovascular,OID00458,PD-L2,Q9BQ51,-0.10,-0.48,0.28,3.46,0.60,0.68
Longitudinal_in_Mild,Cardiovascular,OID00417,GH,P01241,2.74,-3.65,9.13,7.45,0.35,0.68
Longitudinal_in_Mild,Cardiovascular,OID00409,IL18,Q14116,-0.92,-3.09,1.24,8.86,0.36,0.68
Longitudinal_in_Mild,Cardiovascular,OID00405,LOX-1,P78380,-0.87,-2.92,1.18,6.88,0.36,0.68
Longitudinal_in_Mild,Immune,OID01005,DCBLD2,Q96PD2,-0.34,-1.18,0.49,8.02,0.36,0.68
Longitudinal_in_Mild,Immune,OID00945,IRF9,Q00978,-0.33,-1.12,0.47,1.54,0.36,0.68
Longitudinal_in_Mild,Cardiovascular,OID00433,XCL1,P47992,-0.32,-1.07,0.44,4.97,0.36,0.68
Longitudinal_in_Mild,Immune,OID00943,CNTNAP2,Q9UHC6,0.22,-0.31,0.75,1.36,0.36,0.68
Mild_v_Severe,Immune,OID01023,LAG3,P18627,-0.12,-0.60,0.35,3.02,0.60,0.69
"Longitudinal_in_Critical",Inflammation,OID00552,CX3CL1,P78423,-0.20,-0.73,0.34,4.78,0.41,0.69
Mild_v_Critical,Neurology,OID00313,EPHB6,O15197,-0.07,-0.33,0.20,3.83,0.61,0.69
Control_v_Severe,Inflammation,OID00518,PD-L1,Q9NZQ7,0.42,-0.70,1.54,5.76,0.45,0.69
Control_v_Severe,Neurology,OID00372,NTRK3,Q16288,-0.40,-1.46,0.66,7.35,0.45,0.69
Longitudinal_in_Mild,Neurology,OID00290,CADM3,Q8N126,0.55,-0.79,1.88,3.42,0.37,0.69
Control_v_Severe,Cardiovascular,OID00414,CTRC,Q99895,1.09,-1.83,4.01,10.06,0.45,0.69
"Longitudinal_in_Critical",Neurology,OID00331,TMPRSS5,Q9H3S3,-0.20,-0.74,0.34,2.12,0.42,0.69
"Longitudinal_in_Critical",Immune,OID00984,FCRL3,Q96P31,0.09,-0.16,0.35,1.08,0.42,0.69
Longitudinal_in_Mild,Inflammation,OID00501,IL18,Q14116,-0.82,-2.78,1.15,9.04,0.37,0.69
Longitudinal_in_Mild,Immune,OID00976,EIF4G1,Q04637,0.67,-1.04,2.38,3.27,0.39,0.69
Longitudinal_in_Mild,Inflammation,OID00554,NT-3,P20783,0.66,-1.00,2.32,1.87,0.38,0.69
Longitudinal_in_Mild,Neurology,OID00314,RGMB,Q6NW40,0.56,-0.84,1.96,5.82,0.38,0.69
Longitudinal_in_Mild,Inflammation,OID00555,TWEAK,O43508,0.48,-0.71,1.68,8.74,0.38,0.69
Longitudinal_in_Mild,Immune,OID00937,GLB1,P16278,0.48,-0.73,1.69,0.86,0.38,0.69
Longitudinal_in_Mild,Neurology,OID00338,NTRK2,Q16620,0.48,-0.75,1.71,6.31,0.39,0.69
Longitudinal_in_Mild,Immune,OID00980,HSD11B1,P28845,0.43,-0.67,1.53,3.38,0.39,0.69
Longitudinal_in_Mild,Inflammation,OID00491,CST5,P28325,-0.41,-1.42,0.61,6.56,0.38,0.69
Longitudinal_in_Mild,Inflammation,OID00511,LIF-R,P42702,-0.20,-0.71,0.30,4.37,0.38,0.69
Longitudinal_in_Mild,Immune,OID00953,PRDX3,P30048,-0.14,-0.48,0.21,-0.46,0.39,0.69
Control_v_Mild,Immune,OID00970,CCL11,P51671,-0.15,-0.68,0.38,7.32,0.57,0.69
"Longitudinal_in_Critical",Immune,OID00944,CLEC4G,Q6UXB4,-0.55,-2.14,1.03,4.48,0.44,0.69
"Longitudinal_in_Critical",Immune,OID01016,CLEC7A,Q9BXN2,0.55,-1.02,2.11,3.50,0.44,0.69
"Longitudinal_in_Critical",Cardiovascular,OID00388,SRC,P12931,-0.38,-1.47,0.71,5.94,0.44,0.69
"Longitudinal_in_Critical",Immune,OID01006,FCRL6,Q6DN72,-0.37,-1.42,0.68,3.21,0.44,0.69
"Longitudinal_in_Critical",Inflammation,OID00530,CCL23,P55773,0.35,-0.64,1.34,11.84,0.44,0.69
"Longitudinal_in_Critical",Neurology,OID00292,UNC5C,O95185,0.18,-0.33,0.69,4.63,0.43,0.69
"Longitudinal_in_Critical",Neurology,OID00291,GDNF,P39905,0.18,-0.32,0.68,2.15,0.43,0.69
"Longitudinal_in_Critical",Cardiovascular,OID00406,Gal-9,O00182,-0.13,-0.48,0.23,9.30,0.44,0.69
"Longitudinal_in_Critical",Neurology,OID00378,KYNU,Q16719,0.12,-0.23,0.47,9.83,0.44,0.69
"Longitudinal_in_Critical",Inflammation,OID00524,IL-24,Q13007,0.38,-0.72,1.48,2.11,0.44,0.69
"Longitudinal_in_Critical",Cardiovascular,OID00444,DCN,P07585,-0.25,-0.97,0.47,4.65,0.44,0.69
Mild_v_Critical,Cardiovascular,OID00439,CCL17,Q92583,0.23,-0.70,1.16,8.35,0.62,0.69
Control_v_Critical,Inflammation,OID00475,GDNF,P39905,-0.08,-0.39,0.23,2.16,0.59,0.69
Mild_v_Critical,Cardiovascular,OID00388,SRC,P12931,0.22,-0.68,1.11,5.73,0.63,0.69
Mild_v_Critical,Immune,OID00960,CDSN,Q15517,0.14,-0.43,0.71,2.73,0.63,0.69
Mild_v_Critical,Cardiovascular,OID00429,VSIG2,Q96IQ7,0.10,-0.32,0.52,3.84,0.63,0.69
Mild_v_Critical,Neurology,OID00347,FLRT2,O43155,0.06,-0.17,0.28,2.29,0.63,0.69
Control_v_Critical,Neurology,OID00291,GDNF,P39905,0.12,-0.32,0.55,2.02,0.59,0.70
Control_v_Critical,Inflammation,OID00523,IL-12B,P29460,0.18,-0.50,0.86,6.64,0.60,0.70
"Longitudinal_in_Critical",Immune,OID01002,SH2D1A,O60880,0.32,-0.63,1.27,2.18,0.46,0.70
"Longitudinal_in_Critical",Neurology,OID00364,PLXNB1,O43157,0.28,-0.55,1.10,2.73,0.46,0.70
"Longitudinal_in_Critical",Neurology,OID00307,CPA2,P48052,-0.21,-0.84,0.42,8.94,0.46,0.70
"Longitudinal_in_Critical",Cardiovascular,OID00431,PRELP,P51888,-0.19,-0.76,0.38,8.27,0.45,0.70
"Longitudinal_in_Critical",Immune,OID00943,CNTNAP2,Q9UHC6,-0.10,-0.38,0.19,1.15,0.46,0.70
Severe_v_Critical,Inflammation,OID00531,CD5,P06127,0.09,-0.21,0.40,5.23,0.55,0.70
Severe_v_Critical,Inflammation,OID01213,DNER,Q8NFT8,-0.05,-0.20,0.11,8.12,0.55,0.70
Control_v_Mild,Neurology,OID00287,NMNAT1,Q9HAN9,-0.26,-1.19,0.68,3.29,0.58,0.70
Control_v_Case,Cardiovascular,OID00429,VSIG2,Q96IQ7,-0.08,-0.45,0.29,3.82,0.67,0.70
Mild_v_Severe,Cardiovascular,OID00415,FGF-23,Q9GZV9,-0.08,-0.38,0.23,2.71,0.62,0.70
Longitudinal_in_Mild,Inflammation,OID00474,MCP-3,P80098,-0.84,-3.04,1.36,2.05,0.41,0.70
Longitudinal_in_Mild,Cardiovascular,OID00406,Gal-9,O00182,-0.46,-1.68,0.75,8.37,0.41,0.70
Longitudinal_in_Mild,Inflammation,OID00488,TRAIL,P50591,0.39,-0.63,1.41,8.06,0.40,0.70
Longitudinal_in_Mild,Cardiovascular,OID00400,IL1RL2,Q9HB29,-0.23,-0.85,0.38,4.71,0.41,0.70
Longitudinal_in_Mild,Neurology,OID00326,LAYN,Q6UX15,-0.18,-0.64,0.29,5.23,0.40,0.70
"Longitudinal_in_Critical",Immune,OID01001,FAM3B,P58499,0.19,-0.39,0.78,4.48,0.46,0.71
Control_v_Severe,Cardiovascular,OID00448,AGRP,O00253,-0.55,-2.06,0.96,5.33,0.47,0.71
Control_v_Severe,Immune,OID00943,CNTNAP2,Q9UHC6,0.48,-0.85,1.81,1.81,0.47,0.71
Control_v_Severe,Neurology,OID00338,NTRK2,Q16620,-0.35,-1.34,0.63,6.42,0.47,0.71
Control_v_Severe,Immune,OID00941,TPSAB1,Q15661,0.66,-1.20,2.52,4.78,0.48,0.71
Control_v_Severe,Inflammation,OID00514,IL-15RA,Q13261,-0.31,-1.19,0.57,1.38,0.48,0.71
Severe_v_Critical,Immune,OID00951,CLEC4A,Q9UMR7,0.07,-0.17,0.32,2.97,0.56,0.71
Longitudinal_in_Mild,Immune,OID01024,IL5,P05113,-1.30,-4.85,2.24,1.34,0.41,0.71
Longitudinal_in_Mild,Inflammation,OID00480,LAP TGF-beta-1,P01137,0.56,-0.96,2.08,6.01,0.42,0.71
Longitudinal_in_Mild,Neurology,OID00325,BCAN,Q96GW7,0.55,-0.97,2.07,4.30,0.42,0.71
Longitudinal_in_Mild,Inflammation,OID00550,CASP-8,Q14790,0.48,-0.83,1.80,3.07,0.42,0.71
Longitudinal_in_Mild,Cardiovascular,OID00397,PRSS27,Q9BQR3,0.42,-0.72,1.56,9.11,0.42,0.71
Longitudinal_in_Mild,Inflammation,OID00481,uPA,P00749,0.39,-0.68,1.47,9.82,0.43,0.71
Longitudinal_in_Mild,Cardiovascular,OID00379,BMP-6,P22004,0.36,-0.60,1.33,4.74,0.41,0.71
Longitudinal_in_Mild,Immune,OID01015,LAMP3,Q9UQV4,0.33,-0.59,1.24,5.14,0.42,0.71
Longitudinal_in_Mild,Cardiovascular,OID00468,VEGFD,O43915,0.14,-0.24,0.51,7.72,0.43,0.71
Mild_v_Critical,Immune,OID00983,SH2B3,Q9UQQ2,0.19,-0.64,1.01,2.85,0.65,0.71
Control_v_Critical,Neurology,OID00378,KYNU,Q16719,0.15,-0.45,0.76,9.31,0.61,0.71
Control_v_Mild,Immune,OID00978,PTH1R,Q03431,0.11,-0.29,0.50,4.04,0.59,0.71
"Longitudinal_in_Critical",Cardiovascular,OID00448,AGRP,O00253,-0.09,-0.37,0.19,6.10,0.47,0.71
"Longitudinal_in_Critical",Inflammation,OID00535,CXCL10,P02778,-0.15,-0.60,0.31,13.24,0.47,0.71
Longitudinal_in_Mild,Neurology,OID00353,MDGA1,Q8NFP4,1.35,-2.58,5.29,4.29,0.44,0.71
Longitudinal_in_Mild,Immune,OID00959,ITGA6,P23229,1.20,-2.38,4.77,1.40,0.46,0.71
Longitudinal_in_Mild,Immune,OID00961,GALNT3,Q14435,-0.53,-2.06,1.00,3.30,0.44,0.71
Longitudinal_in_Mild,Immune,OID01018,DDX58,O95786,-0.46,-1.84,0.92,3.32,0.45,0.71
Longitudinal_in_Mild,Inflammation,OID00558,STAMBP,O95630,0.35,-0.67,1.36,4.64,0.45,0.71
Longitudinal_in_Mild,Immune,OID00963,TRAF2,Q12933,0.35,-0.68,1.37,1.38,0.45,0.71
Longitudinal_in_Mild,Inflammation,OID00503,TGF-alpha,P01135,-0.33,-1.29,0.63,2.90,0.45,0.71
Longitudinal_in_Mild,Immune,OID01019,IL12RB1,P42701,-0.32,-1.29,0.64,2.45,0.45,0.71
Longitudinal_in_Mild,Cardiovascular,OID00438,PSGL-1,Q14242,0.28,-0.52,1.08,4.51,0.44,0.71
Longitudinal_in_Mild,Inflammation,OID00536,4E-BP1,Q13541,-0.25,-0.95,0.45,8.08,0.43,0.71
Longitudinal_in_Mild,Immune,OID01016,CLEC7A,Q9BXN2,-0.23,-0.90,0.44,3.18,0.45,0.71
Longitudinal_in_Mild,Inflammation,OID00553,TNFRSF9,Q07011,0.17,-0.33,0.67,6.69,0.45,0.71
Longitudinal_in_Mild,Immune,OID01022,KPNA1,P52294,-0.17,-0.65,0.32,-0.25,0.44,0.71
Severe_v_Critical,Neurology,OID00322,HAGH,Q16775,-0.24,-1.10,0.61,6.23,0.56,0.71
Control_v_Case,Immune,OID00938,PSIP1,O75475,0.13,-0.51,0.77,3.94,0.69,0.71
Control_v_Case,Immune,OID00972,EGLN1,Q9GZT9,0.06,-0.25,0.38,1.69,0.69,0.71
Control_v_Case,Cardiovascular,OID00454,GT,P51161,-0.10,-0.57,0.38,2.41,0.69,0.71
Longitudinal_in_Mild,Neurology,OID00344,PVR,P15151,-0.31,-1.22,0.61,8.31,0.46,0.72
"Longitudinal_in_Critical",Immune,OID00977,CD28,P10747,0.24,-0.52,1.00,1.51,0.48,0.72
Control_v_Mild,Cardiovascular,OID00460,hOSCAR,Q8IYS5,-0.08,-0.38,0.22,10.72,0.60,0.72
Mild_v_Critical,Cardiovascular,OID00442,IgG Fc receptor II-b,P31994,0.13,-0.47,0.73,3.14,0.66,0.72
Mild_v_Critical,Immune,OID01022,KPNA1,P52294,0.01,-0.04,0.06,-0.20,0.66,0.72
Severe_v_Critical,Immune,OID01008,CXCL12,P48061,0.04,-0.11,0.19,1.70,0.57,0.72
Control_v_Critical,Inflammation,OID00502,SLAMF1,Q13291,-0.14,-0.68,0.41,2.66,0.62,0.72
"Longitudinal_in_Critical",Neurology,OID00300,SCARB2,Q14108,-0.16,-0.65,0.34,5.77,0.48,0.72
Severe_v_Critical,Inflammation,OID00502,SLAMF1,Q13291,-0.11,-0.49,0.28,3.02,0.57,0.72
Severe_v_Critical,Cardiovascular,OID00379,BMP-6,P22004,-0.09,-0.41,0.23,5.04,0.57,0.72
"Longitudinal_in_Critical",Immune,OID01005,DCBLD2,Q96PD2,-0.13,-0.55,0.29,7.75,0.48,0.72
Control_v_Case,Cardiovascular,OID00400,IL1RL2,Q9HB29,-0.05,-0.31,0.21,4.38,0.70,0.72
Mild_v_Severe,Immune,OID00992,CXADR,P78310,0.11,-0.35,0.56,2.31,0.64,0.72
